CITY/COUNTY,STATE,UNIT TYPE,COUNTY,CENSUS REGION,MSA URBANITY,TOTAL POPULATION,QUARTPOP, MEDIAN HH INCOME , INCOME GROUP ,POVERTY RATE,QUARTPOVERTY,MEDIAN AGE,% OF POP. 65 & OVER,QUART % 65 & OVER, DISABLED POPULATION ,% OF TOTAL POP. DISABLED,QUART%DISABLED,USE,AUDITED,AUDIT QUALITY SCORE,RETREIVAL METHOD,YEAR OF MOST RECENT PLAN,RETREIVAL  YEAR,URL ,ADA CONTACT,FILE NAME,FILE LOCATION
Acwroth,GA,Municipality,COBB,South,LARGE FRINGE METRO,"22,534",1," $68,860 ", MIDDLE ,9.3%,2,35,10.4%,1," 2,322 ",10.3%,2,National ,Yes,,Public,2013,2018,http://www.acworth.org/departments/human_resources/title_ii_and_vi_notice.php,Human Resources 678-801-4021,Acwroth Transition Plan,https://uofi.box.com/s/21reesla1hl1hl00gjswll4lxhhmtdtm
Addison,TX,Municipality,DALLAS,South,LARGE CENTRAL METRO,"15,302",1," $74,986 ", MIDDLE ,10.0%,2,32.2,8.1%,1, 631 ,4.1%,1,National,Yes,,Public,2018,2018,https://addisontexas.net/index.php?section=ada-accessibility,Ashley Mitchell- amitchell@addisontx.gov,Addison_TX_TP,https://uofi.box.com/s/x2ryfu2ft673ss57obelu76c9rsq1xyq
Allen,IN,County,ALLEN,Midwest,MEDIUM METRO,"372,575",4," $54,857 ", MIDDLE ,13.3%,3,35.9,14.2%,2," 46,145 ",12.5%,3,National,Yes,,Public,2016,2017,http://www.allencounty.us/ada,Charity A. Murphy-  charity.murphy@allencounty.us,Allen_IN_TP,https://uofi.box.com/s/k58y9kn7bql3cmiexbgvaaamsj9d38ue
Alton,IL,Municipality,MADISON,Midwest,LARGE FRINGE METRO,"26,640",2," $40,211 ", LOW ,26.6%,4,38.8,16.2%,3," 5,336 ",20.3%,4,National,Yes,,Public,2017,2018,"https://uofi.app.box.com/file/241597780331#:~:text=https%3A//www.cityofaltonil.-,com,-/page/grievance-procedure",Deanna Barnes- 618.463.3532,Alton_IL_TP_2017,https://uofi.box.com/s/glu8nb87d7hi9jip365diqyjcih8yfsq
Arlington Heights,IL,Municipality,COOK,Midwest,LARGE CENTRAL METRO,"75,482",3," $96,340 ", MIDDLE ,4.0%,1,44.5,19.8%,4," 7,478 ",10.0%,2,Chicago,Yes,,Direct Contact,1992,2021,https://www.vah.com/cms/one.aspx?portalId=7230773&pageId=8787857, drobb@vah.com,ArlingtonHeights.pdf,https://uofi.box.com/s/ars2lqs9821l72itmm8gtrdjphor5o3e
Arvada,CO,Municipality,JEFFERSON,West,LARGE FRINGE METRO,"118,746",3," $84,717 ", MIDDLE ,5.8%,1,40.2,16.8%,3," 12,885 ",10.9%,2,Other,Yes,,Public,2021,2021,https://arvada.org/source/Public%20Works/Arvada_Transition%20Plan_Draft_for%20public%20comment.pdf,ArvadaADA@arvada.org,Arvada_Transition Plan_Draft_for public comment,https://uofi.box.com/s/swgh4b3tl8sru8v7xps6c3az1swz4z2v
Austin,TX,Municipality,TRAVIS,South,LARGE CENTRAL METRO,"950,807",4," $71,576 ", MIDDLE ,13.2%,3,33.3,8.9%,1," 79,283 ",8.4%,1,Other,Yes,,Public,2016,2019,https://austintexas.gov/sites/default/files/files/Public_Works/Street_%26_Bridge/Sidewalk_MPU_Adopted_06.16.2016_reduced.pdf,David Ondich: 512-974-3256,Sidewalk_MPU_Adopted_06.16.2016_reduced,https://uofi.box.com/s/30y0udzlwe86hxq1v76ufg7ojvl94al4
Barrington,IL,Municipality,COOK,Midwest,LARGE CENTRAL METRO,"10,290",1," $117,931 ", MIDDLE ,3.6%,1,41.9,19.3%,4, 819 ,8.1%,1,Chicago,Yes,,Public,2015,2020,https://www.barrington-il.gov/Rules%20and%20Regulations/ADATransitionPlan.pdf,Marie Hansen: (847) 304-3460,08 Barrington ADATransitionPlan,https://uofi.box.com/s/9tabkfer096nunp79d3pkk8r6s540g43
Bartlett,IL,Municipality,"COOK, DUPAGE, KANE",Midwest,LARGE CENTRAL METRO,"41,120",2," $108,592 ", MIDDLE ,3.9%,1,39.7,12.8%,1," 3,043 ",7.4%,1,Chicago,Yes,,Public,2016,2020,https://www.bartlettil.gov/home/showpublisheddocument/11877/637581492461330000,Paula Schumacher,09 Bartlett Transition Plan,https://uofi.box.com/s/71fz9gb5izzpxskn3pbiekrms2ueae13
Bend,OR,Municipality,DESCHUTES,West,SMALL METRO,"93,917",3," $65,662 ", MIDDLE ,10.3%,2,38.9,16.7%,3," 9,732 ",10.4%,2,Pilot,Yes,,Public,2016,2017,https://www.bendoregon.gov/government/departments/city-attorney/accessibility-ada-information/important-forms-documents/-folder-1060,accessibility@bendoregon.gov,BendOR_20162018Update,https://uofi.box.com/s/njpufhmfja9r5jyrbigjc69u6oy6g6b9
Bethlehem,NY,Municipality,ALBANY,Northeast,MEDIUM METRO,"34,946",2," $97,867 ", MIDDLE ,5.7%,1,43.5,18.9%,4," 2,796 ",8.0%,1,National,Yes,,Public,1993,2017,http://www.townofbethlehem.org/799/ADA-Transition-Plan,John Anastasi- janastasi@townofbethlehem.org,Bethlehem_NY_SelfEvaluation,https://uofi.box.com/s/20o2ml75f41nn3nl28nsxdvx99s0tsgz
Bremerton ,WA,Municipality,KITSAP,West,MEDIUM METRO,"40,631",2," $52,716 ", MIDDLE ,16.5%,4,33,13.6%,2," 6,740 ",19.0%,4,Other,Yes,,Public,2016,2019,http://www.bremertonwa.gov/DocumentCenter/View/4263/ADA-Transition-Plan-PDF?bidId=,Shane Weber: Shane.Weber@ci.bremerton.wa.us,Bremerton WA TP,https://uofi.box.com/s/b1dmsehtayxr8ghocwkz6jmf7gzsg2az
Burlington,IA,Municipality,DES MOINES,Midwest,MICROPOLITAN,"24,974",2," $47,540 ", MIDDLE ,20.7%,4,42.5,20.3%,4," 4,121 ",16.7%,4,National,Yes,,Public,2017,2018,https://www.burlingtoniowa.org/DocumentCenter/View/2425/Feb-2018-ADA-Transition-Plan---Complete-Document?bidId=,Jesse Howe- Howej@burlingtoniowa.org,20180206-Final Burlington ADA TP,https://uofi.box.com/s/7eupokz6z5z6xir95bzwjacch1ujwm2y
